            Profesor: DR. CARLOS GABRIEL FIGUEROA ALCANTARA (PRESENCIAL),            Gpo.: 1, Cupo: 30
            Profesor: FIS. ARTEMISA MAZON MARTINEZ (PRESENCIAL),            Gpo.: 2, Cupo: 30
            Profesor: DR. RAFAEL SCHOUWENAARS  (PRESENCIAL),            Gpo.: 3, Cupo: 20
            Profesor: DRA. SANDRA MARCELA ROJAS MONTOYA (PRESENCIAL),            Gpo.: 4, Cupo: 30
            Profesor: DR. JORGE LUIS FLORES ALARCON (PRESENCIAL),            Gpo.: 5, Cupo: 30
            Profesor: DR. JESUS RAFAEL GONZALEZ PARRA (PRESENCIAL),            Gpo.: 6, Cupo: 30
            Profesor: M.I. JULIO CESAR GONZALEZ SANCHEZ (PRESENCIAL),            Gpo.: 7, Cupo: 30
            Profesor: DRA. TATIANA LILIA AVALOS RENDON (PRESENCIAL),            Gpo.: 8, Cupo: 30
            Profesor: ING. PROFESOR POR ASIGNAR (PRESENCIAL),            Gpo.: 9, Cupo: 25
            Profesor: M.I. ISAAC FONSECA CRUZ (PRESENCIAL),            Gpo.: 1, Cupo: 12
            Profesor: ING. AURORA GUTIERREZ MORALES (PRESENCIAL),            Gpo.: 2, Cupo: 12
            Profesor: ING. JOSE LUIS ALMARAZ MORENO (PRESENCIAL),            Gpo.: 3, Cupo: 12
            Profesor: ING. ROBERTO CISNEROS HERNANDEZ (PRESENCIAL),            Gpo.: 4, Cupo: 12
            Profesor: ING. ISRAEL GARDUÑO GARCIA (PRESENCIAL),            Gpo.: 5, Cupo: 12
            Profesor: ING. ADRIAN MANCILLA VELASCO (PRESENCIAL),            Gpo.: 6, Cupo: 12
            Profesor: ING. ADOLFO ALTAMIRANO MEZA (PRESENCIAL),            Gpo.: 7, Cupo: 12
            Profesor: ING. ADOLFO ALTAMIRANO MEZA (PRESENCIAL),            Gpo.: 8, Cupo: 12
            Profesor: ING. ADOLFO ALTAMIRANO MEZA (PRESENCIAL),            Gpo.: 9, Cupo: 12
            Profesor: ING. AURORA GUTIERREZ MORALES (PRESENCIAL),            Gpo.: 10, Cupo: 12
            Profesor: ING. AURORA GUTIERREZ MORALES (PRESENCIAL),            Gpo.: 11, Cupo: 12
            Profesor: ING. ADRIAN MANCILLA VELASCO (PRESENCIAL),            Gpo.: 12, Cupo: 12
            Profesor: ING. DAVID MARTINEZ HERNANDEZ (PRESENCIAL),            Gpo.: 13, Cupo: 12
            Profesor: ING. ADRIAN MANCILLA VELASCO (PRESENCIAL),            Gpo.: 14, Cupo: 12
            Profesor: ING. DAVID MARTINEZ HERNANDEZ (PRESENCIAL),            Gpo.: 15, Cupo: 12
            Profesor: ING. DAVID MARTINEZ HERNANDEZ (PRESENCIAL),            Gpo.: 16, Cupo: 12
            Profesor: ING. ISRAEL GARDUÑO GARCIA (PRESENCIAL),            Gpo.: 17, Cupo: 12
            Profesor: ING. MARTIN REYES FARIAS (PRESENCIAL),            Gpo.: 18, Cupo: 12
            Profesor: ING. JOSE LUIS ALMARAZ MORENO (PRESENCIAL),            Gpo.: 19, Cupo: 12
